7205925,2017-05-12,f,
7205925,2017-05-11,f,
7205925,2017-05-10,f,
7205925,2017-05-09,f,
7205925,2017-05-08,f,
7205925,2017-05-07,f,
7205925,2017-05-06,f,
7205925,2017-05-05,f,
7205925,2017-05-04,f,
7205925,2017-05-03,f,
7205925,2017-05-02,f,
7205925,2017-05-01,f,
7205925,2017-04-30,f,
7205925,2017-04-29,f,
7205925,2017-04-28,f,
7205925,2017-04-27,f,
7205925,2017-04-26,f,
7205925,2017-04-25,f,
7205925,2017-04-24,f,
7205925,2017-04-23,f,
7205925,2017-04-22,f,
7205925,2017-04-21,f,
7205925,2017-04-20,f,
7205925,2017-04-19,f,
7205925,2017-04-18,f,
7205925,2017-04-17,f,
7205925,2017-04-16,f,
7205925,2017-04-15,f,
7205925,2017-04-14,f,
7205925,2017-04-13,f,
7205925,2017-04-12,f,
7205925,2017-04-11,f,
7205925,2017-04-10,f,
7205925,2017-04-09,f,
7205925,2017-04-08,f,
7205925,2017-04-07,f,
7205925,2017-04-06,f,
7205925,2017-04-05,f,
7205925,2017-04-04,f,
7205925,2017-04-03,f,
7205925,2017-04-02,f,
4567295,2018-04-01,f,
4567295,2018-03-31,f,
4567295,2018-03-30,f,
4567295,2018-03-29,f,
4567295,2018-03-28,f,
4567295,2018-03-27,f,
4567295,2018-03-26,f,
4567295,2018-03-25,f,
4567295,2018-03-24,f,
4567295,2018-03-23,f,
4567295,2018-03-22,f,
4567295,2018-03-21,f,
4567295,2018-03-20,f,
4567295,2018-03-10,f,
4567295,2018-03-09,f,
4567295,2018-03-08,f,
4567295,2018-03-07,f,
4567295,2018-03-06,f,
4567295,2018-03-05,f,
4567295,2018-03-04,f,
4567295,2018-03-03,f,
4567295,2018-03-02,f,
4567295,2018-03-01,f,
4567295,2018-02-28,f,
4567295,2018-02-27,f,
4567295,2018-02-26,f,
4567295,2018-02-25,f,
4567295,2018-02-24,f,
4567295,2018-02-23,f,
4567295,2018-02-22,f,
4567295,2018-02-21,f,
4567295,2018-02-20,f,
4567295,2018-02-19,f,
4567295,2018-02-18,f,
4567295,2018-02-17,f,
4567295,2018-02-16,f,
4567295,2018-02-15,f,
4567295,2018-02-14,f,
4567295,2018-02-13,f,
4567295,2018-02-12,f,
4567295,2018-02-11,f,
4567295,2018-02-10,f,
4567295,2018-02-09,f,
4567295,2018-02-08,f,
4567295,2018-02-07,f,
4567295,2018-02-06,f,
4567295,2018-02-05,f,
