listing_id,date,available,price
8053481,2017-07-31,t,$220.00
8053481,2017-07-30,t,$220.00
8053481,2017-07-21,t,$230.00
8053481,2017-07-20,t,$220.00
8053481,2017-07-19,t,$220.00
8053481,2017-07-18,t,$220.00
8053481,2017-07-17,t,$220.00
8053481,2017-07-16,t,$220.00
8053481,2017-07-15,t,$230.00
8053481,2017-07-14,t,$230.00
8053481,2017-07-13,t,$220.00
8053481,2017-07-12,t,$220.00
8053481,2017-07-11,t,$220.00
8053481,2017-07-10,t,$220.00
8053481,2017-07-09,t,$220.00
8053481,2017-07-08,t,$230.00
8053481,2017-07-07,t,$230.00
8053481,2017-07-06,t,$220.00
8053481,2017-07-05,t,$220.00
8053481,2017-07-04,t,$220.00
8053481,2017-07-03,t,$220.00
8053481,2017-07-02,t,$220.00
8053481,2017-07-01,t,$230.00
8053481,2017-06-30,t,$230.00
8053481,2017-06-29,t,$220.00
8053481,2017-06-28,t,$220.00
8053481,2017-06-27,t,$220.00
8053481,2017-06-26,t,$220.00
8053481,2017-06-02,t,$220.00
8053481,2017-06-01,t,$220.00
8053481,2017-05-31,t,$220.00
8053481,2017-05-30,t,$220.00
8053481,2017-05-29,t,$220.00
8053481,2017-05-28,t,$220.00
8053481,2017-05-27,t,$220.00
8053481,2017-05-26,t,$220.00
8053481,2017-05-25,t,$220.00
8053481,2017-05-24,t,$220.00
8053481,2017-05-23,t,$220.00
8053481,2017-05-22,t,$220.00
8053481,2017-05-21,t,$220.00
8053481,2017-05-20,t,$220.00
8053481,2017-05-19,t,$220.00
8053481,2017-05-18,t,$220.00
8053481,2017-05-17,t,$220.00
936209,2017-11-13,t,$162.00
936209,2017-11-12,t,$162.00
936209,2017-11-11,t,$184.00
936209,2017-11-10,t,$184.00
936209,2017-11-09,t,$162.00
936209,2017-11-08,t,$162.00
936209,2017-11-07,t,$162.00
936209,2017-11-06,t,$162.00
936209,2017-11-05,t,$162.00
936209,2017-11-04,t,$184.00
936209,2017-11-03,t,$184.00
936209,2017-11-02,t,$162.00
936209,2017-11-01,t,$162.00
936209,2017-10-31,t,$162.00
936209,2017-10-30,t,$162.00
936209,2017-10-29,t,$162.00
936209,2017-10-28,t,$184.00
936209,2017-10-27,t,$184.00
936209,2017-10-26,t,$162.00
936209,2017-10-25,t,$162.00
936209,2017-10-24,t,$162.00
936209,2017-10-23,t,$162.00
936209,2017-10-22,t,$162.00
936209,2017-10-21,t,$184.00
936209,2017-10-20,t,$184.00
936209,2017-10-19,t,$162.00
936209,2017-10-18,t,$162.00
936209,2017-10-17,t,$162.00
936209,2017-10-16,t,$162.00
936209,2017-10-15,t,$162.00
936209,2017-10-14,t,$184.00
936209,2017-10-13,t,$184.00
936209,2017-10-12,t,$162.00
936209,2017-10-11,t,$162.00
936209,2017-10-10,t,$162.00
936209,2017-10-09,t,$162.00
